rank,tag,name,expLevel,trophies,attackWins,defenseWins,clan.tag,clan.name,clan.badgeUrls.small,clan.badgeUrls.large,clan.badgeUrls.medium
1,#PRPV9G99,B0ssh0gg,169,5562,191,22,#9J8RLVRC,Team C.R.E.A.M™,https://api-assets.clashofclans.com/badges/70/4-dZgA748bIRkM8DocIbWj8X8h54dpqlV_KbESJZhUk.png,https://api-assets.clashofclans.com/badges/512/4-dZgA748bIRkM8DocIbWj8X8h54dpqlV_KbESJZhUk.png,https://api-assets.clashofclans.com/badges/200/4-dZgA748bIRkM8DocIbWj8X8h54dpqlV_KbESJZhUk.png
2,#QVRYVJP0,Ryuji-日本大学,153,5525,105,12,#PJUGGY0P,TOP OF JAPAN,https://api-assets.clashofclans.com/badges/70/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png,https://api-assets.clashofclans.com/badges/512/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png,https://api-assets.clashofclans.com/badges/200/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png
3,#998P0202,mD,152,5511,141,13,#Q0UU092L,ARAB CHAMPIONS,https://api-assets.clashofclans.com/badges/70/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png,https://api-assets.clashofclans.com/badges/512/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png,https://api-assets.clashofclans.com/badges/200/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png
4,#PGP2QPLG,Lj®,184,5505,162,11,#20C00JL0,Indo Celestial,https://api-assets.clashofclans.com/badges/70/Vkb2fIWKckINbfReHrir5TLyIP6-54M20sz_ZnrcPSA.png,https://api-assets.clashofclans.com/badges/512/Vkb2fIWKckINbfReHrir5TLyIP6-54M20sz_ZnrcPSA.png,https://api-assets.clashofclans.com/badges/200/Vkb2fIWKckINbfReHrir5TLyIP6-54M20sz_ZnrcPSA.png
5,#Y8PJ0GVU,Eran Levi,167,5500,127,17,#LL882JR9,U.S.A United™,https://api-assets.clashofclans.com/badges/70/f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI.png,https://api-assets.clashofclans.com/badges/512/f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI.png,https://api-assets.clashofclans.com/badges/200/f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI.png
6,#YLQ89LJ,Song dunn,171,5490,183,14,#2JVLPQLP,TAKEN,https://api-assets.clashofclans.com/badges/70/2oLwqocxWdc-IrCdnJWb8hjDKeClJtJ1TjhxIdFIxnI.png,https://api-assets.clashofclans.com/badges/512/2oLwqocxWdc-IrCdnJWb8hjDKeClJtJ1TjhxIdFIxnI.png,https://api-assets.clashofclans.com/badges/200/2oLwqocxWdc-IrCdnJWb8hjDKeClJtJ1TjhxIdFIxnI.png
7,#CJ298VV,kim kardashian,153,5489,126,6,#Q0UU092L,ARAB CHAMPIONS,https://api-assets.clashofclans.com/badges/70/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png,https://api-assets.clashofclans.com/badges/512/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png,https://api-assets.clashofclans.com/badges/200/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png
8,#2CGPQRUL,alooo,157,5489,124,14,#Q0UU092L,ARAB CHAMPIONS,https://api-assets.clashofclans.com/badges/70/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png,https://api-assets.clashofclans.com/badges/512/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png,https://api-assets.clashofclans.com/badges/200/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png
9,#22JQPLCP,TRENBOLONE,193,5483,106,18,#9GJGLRLG,MEGA FAMILY,https://api-assets.clashofclans.com/badges/70/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png,https://api-assets.clashofclans.com/badges/512/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png,https://api-assets.clashofclans.com/badges/200/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png
10,#929UJGU0,Athena,203,5476,118,37,#Q08G02C0,Freedom Tower,https://api-assets.clashofclans.com/badges/70/CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU.png,https://api-assets.clashofclans.com/badges/512/CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU.png,https://api-assets.clashofclans.com/badges/200/CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU.png
11,#Y2CUG0P2,Sunbis,144,5466,152,21,#Q0UU092L,ARAB CHAMPIONS,https://api-assets.clashofclans.com/badges/70/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png,https://api-assets.clashofclans.com/badges/512/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png,https://api-assets.clashofclans.com/badges/200/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png
12,#CRRQJUJL,HUNTER,182,5462,117,14,#9GJGLRLG,MEGA FAMILY,https://api-assets.clashofclans.com/badges/70/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png,https://api-assets.clashofclans.com/badges/512/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png,https://api-assets.clashofclans.com/badges/200/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png
13,#UYRQUJ9Y,StormClouds,152,5455,160,13,#9J8RLVRC,Team C.R.E.A.M™,https://api-assets.clashofclans.com/badges/70/4-dZgA748bIRkM8DocIbWj8X8h54dpqlV_KbESJZhUk.png,https://api-assets.clashofclans.com/badges/512/4-dZgA748bIRkM8DocIbWj8X8h54dpqlV_KbESJZhUk.png,https://api-assets.clashofclans.com/badges/200/4-dZgA748bIRkM8DocIbWj8X8h54dpqlV_KbESJZhUk.png
14,#PU0PRG9C,Albaroon,155,5453,153,14,#Q0UU092L,ARAB CHAMPIONS,https://api-assets.clashofclans.com/badges/70/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png,https://api-assets.clashofclans.com/badges/512/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png,https://api-assets.clashofclans.com/badges/200/plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw.png
15,#982VRY0R,雷神索爾,173,5449,116,15,0,0,0,0,0
16,#22QVGURR,mazajee,149,5448,93,18,#U2YJCRU,درع الجزيرة,https://api-assets.clashofclans.com/badges/70/gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w.png,https://api-assets.clashofclans.com/badges/512/gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w.png,https://api-assets.clashofclans.com/badges/200/gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w.png
17,#VLJYJGUL,Sarah™,141,5447,166,14,#9J8RLVRC,Team C.R.E.A.M™,https://api-assets.clashofclans.com/badges/70/4-dZgA748bIRkM8DocIbWj8X8h54dpqlV_KbESJZhUk.png,https://api-assets.clashofclans.com/badges/512/4-dZgA748bIRkM8DocIbWj8X8h54dpqlV_KbESJZhUk.png,https://api-assets.clashofclans.com/badges/200/4-dZgA748bIRkM8DocIbWj8X8h54dpqlV_KbESJZhUk.png
