rank,tag,name,expLevel,trophies,attackWins,defenseWins,clan.tag,clan.name,clan.badgeUrls.small,clan.badgeUrls.large,clan.badgeUrls.medium
12,#9VL9U8U9,IX DAABOUL,129,5023,414,18,#YRUYL22,Quantum's Web,https://api-assets.clashofclans.com/badges/70/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png,https://api-assets.clashofclans.com/badges/512/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png,https://api-assets.clashofclans.com/badges/200/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png
13,#R98PVGYR,不识抬举,162,5020,201,8,#YJLY82QG,大唐天子,https://api-assets.clashofclans.com/badges/70/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png,https://api-assets.clashofclans.com/badges/512/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png,https://api-assets.clashofclans.com/badges/200/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png
14,#9PL8UC2C,麗質ོ༜長樂公主ོ༜JC,168,5019,226,11,#YJLY82QG,大唐天子,https://api-assets.clashofclans.com/badges/70/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png,https://api-assets.clashofclans.com/badges/512/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png,https://api-assets.clashofclans.com/badges/200/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png
15,#9L09J9Q8,Casanova,147,5018,194,8,#LG80YL8V,United Legends,https://api-assets.clashofclans.com/badges/70/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/512/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/200/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png
16,#UYUUU2Y,Paige,182,5018,180,12,#JYPRJVU,NORTH 44,https://api-assets.clashofclans.com/badges/70/zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI.png,https://api-assets.clashofclans.com/badges/512/zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI.png,https://api-assets.clashofclans.com/badges/200/zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI.png
17,#GY0J2UY,MUSTAM 1,169,5017,275,14,#LCLJYQJP,MEGA FAMILY,https://api-assets.clashofclans.com/badges/70/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png,https://api-assets.clashofclans.com/badges/512/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png,https://api-assets.clashofclans.com/badges/200/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png
18,#YCUQGV8Y,EricBin,195,5017,329,10,#LG80YL8V,United Legends,https://api-assets.clashofclans.com/badges/70/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/512/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/200/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png
19,#92LY0CQV,YUTO(JPN),125,5014,193,8,#PJUGGY0P,TOP OF JAPAN,https://api-assets.clashofclans.com/badges/70/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png,https://api-assets.clashofclans.com/badges/512/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png,https://api-assets.clashofclans.com/badges/200/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png
20,#2LJG9CPL,李世民,158,5013,258,10,#YJLY82QG,大唐天子,https://api-assets.clashofclans.com/badges/70/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png,https://api-assets.clashofclans.com/badges/512/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png,https://api-assets.clashofclans.com/badges/200/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png
21,#8R9C9JCG,shaheen uae,150,5013,171,6,#LG80YL8V,United Legends,https://api-assets.clashofclans.com/badges/70/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/512/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/200/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png
22,#G8RLCGL2,JOSEPH SUCCAR,129,5011,234,6,#PJUGGY0P,TOP OF JAPAN,https://api-assets.clashofclans.com/badges/70/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png,https://api-assets.clashofclans.com/badges/512/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png,https://api-assets.clashofclans.com/badges/200/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png
23,#GU22R82G,.::ADMIRAL::.,175,5009,214,9,0,0,0,0,0
24,#GC0GLC0P,AD.007,142,5008,185,4,#LG80YL8V,United Legends,https://api-assets.clashofclans.com/badges/70/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/512/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/200/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png
25,#PR2PQLP2,BubbleGum,134,5008,190,7,#LG80YL8V,United Legends,https://api-assets.clashofclans.com/badges/70/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/512/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/200/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png
