rank,tag,name,expLevel,trophies,attackWins,defenseWins,clan.tag,clan.name,clan.badgeUrls.small,clan.badgeUrls.large,clan.badgeUrls.medium
1,#LQVYV8VJ,almghool,140,5015,271,7,#PJUL80GY,GULF KNIGHTS,https://api-assets.clashofclans.com/badges/70/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png,https://api-assets.clashofclans.com/badges/512/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png,https://api-assets.clashofclans.com/badges/200/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png
2,#PRPV9G99,B0ssh0gg,164,4997,15,1,#YLQJQRJ8,.l.™,https://api-assets.clashofclans.com/badges/70/ncwnIvqHq0Fb3YWSWUNIoguTxOqQ2D2046RvbS7kjX8.png,https://api-assets.clashofclans.com/badges/512/ncwnIvqHq0Fb3YWSWUNIoguTxOqQ2D2046RvbS7kjX8.png,https://api-assets.clashofclans.com/badges/200/ncwnIvqHq0Fb3YWSWUNIoguTxOqQ2D2046RvbS7kjX8.png
3,#9LUQQ8RQ,skyreaper,143,4990,253,8,#PJUL80GY,GULF KNIGHTS,https://api-assets.clashofclans.com/badges/70/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png,https://api-assets.clashofclans.com/badges/512/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png,https://api-assets.clashofclans.com/badges/200/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png
4,#82CUU208,Up in smoke Pie,164,4983,268,10,#YUUGJ0R9,QW,https://api-assets.clashofclans.com/badges/70/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png,https://api-assets.clashofclans.com/badges/512/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png,https://api-assets.clashofclans.com/badges/200/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png
5,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,#PCLR29QC,Qatar,159,4976,300,11,#L002LPCL,Emirates,https://api-assets.clashofclans.com/badges/70/CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU.png,https://api-assets.clashofclans.com/badges/512/CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU.png,https://api-assets.clashofclans.com/badges/200/CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU.png
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,#90LRVGP0,TWISTER,167,4971,284,5,#PJUL80GY,GULF KNIGHTS,https://api-assets.clashofclans.com/badges/70/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png,https://api-assets.clashofclans.com/badges/512/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png,https://api-assets.clashofclans.com/badges/200/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png
12,0,0,0,0,0,0,0,0,0,0,0
13,#8P92RUV2,big small,153,4968,218,9,#L002LPCL,Emirates,https://api-assets.clashofclans.com/badges/70/CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU.png,https://api-assets.clashofclans.com/badges/512/CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU.png,https://api-assets.clashofclans.com/badges/200/CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU.png
14,0,0,0,0,0,0,0,0,0,0,0
15,#9V00LLQ8,༺࿅ོALLEXCEED࿅ོ༻,151,4965,210,13,#PJUL80GY,GULF KNIGHTS,https://api-assets.clashofclans.com/badges/70/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png,https://api-assets.clashofclans.com/badges/512/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png,https://api-assets.clashofclans.com/badges/200/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png
16,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0
19,#P22PJVRQ,battlebee,160,4958,241,10,#PJUL80GY,GULF KNIGHTS,https://api-assets.clashofclans.com/badges/70/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png,https://api-assets.clashofclans.com/badges/512/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png,https://api-assets.clashofclans.com/badges/200/rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8.png
20,#JGQ9CQQC,AL-CONGRESS,151,4957,250,9,#L002LPCL,Emirates,https://api-assets.clashofclans.com/badges/70/CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU.png,https://api-assets.clashofclans.com/badges/512/CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU.png,https://api-assets.clashofclans.com/badges/200/CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU.png
21,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0
