rank,tag,name,expLevel,trophies,attackWins,defenseWins,clan.tag,clan.name,clan.badgeUrls.small,clan.badgeUrls.large,clan.badgeUrls.medium
1,#PGCQRC2V,༺࿅ོALLEXCEED2࿅ོ,145,5093,159,15,#9J99PYRL,CLUB ONLY,https://api-assets.clashofclans.com/badges/70/Yafe6MmAlMuwti0JKKcQJWJVHRCL9_FfKpVZJJD-xZs.png,https://api-assets.clashofclans.com/badges/512/Yafe6MmAlMuwti0JKKcQJWJVHRCL9_FfKpVZJJD-xZs.png,https://api-assets.clashofclans.com/badges/200/Yafe6MmAlMuwti0JKKcQJWJVHRCL9_FfKpVZJJD-xZs.png
2,#82CUU208,Up in smoke Pie,164,5060,190,7,#YLQR2VU0,QW Pie Bakery,https://api-assets.clashofclans.com/badges/70/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png,https://api-assets.clashofclans.com/badges/512/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png,https://api-assets.clashofclans.com/badges/200/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png
3,#RRQR0UQ9,one.piece,138,5054,213,15,#PRP8PUL,ARAB CHAMPIONS™,https://api-assets.clashofclans.com/badges/70/kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY.png,https://api-assets.clashofclans.com/badges/512/kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY.png,https://api-assets.clashofclans.com/badges/200/kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY.png
4,#92LY0CQV,YUTO(JPN),124,5041,208,8,#P29YPCJU,倭文組,https://api-assets.clashofclans.com/badges/70/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png,https://api-assets.clashofclans.com/badges/512/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png,https://api-assets.clashofclans.com/badges/200/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png
5,#90LRVGP0,TWISTER,169,5038,185,4,#PRP8PUL,ARAB CHAMPIONS™,https://api-assets.clashofclans.com/badges/70/kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY.png,https://api-assets.clashofclans.com/badges/512/kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY.png,https://api-assets.clashofclans.com/badges/200/kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY.png
6,#RRPVCYPY,SaMi,140,5034,256,11,0,0,0,0,0
7,#P9GRJPGJ,Cream Pie,169,5034,202,8,#YLQR2VU0,QW Pie Bakery,https://api-assets.clashofclans.com/badges/70/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png,https://api-assets.clashofclans.com/badges/512/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png,https://api-assets.clashofclans.com/badges/200/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png
8,#VYQVVJYU,༺࿅ོ༼N02༽࿅ོ༻,151,5028,201,8,#PRP8PUL,ARAB CHAMPIONS™,https://api-assets.clashofclans.com/badges/70/kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY.png,https://api-assets.clashofclans.com/badges/512/kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY.png,https://api-assets.clashofclans.com/badges/200/kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY.png
9,#YVGQQ8Y2,#YaoSquad,177,5027,174,6,#JYPRJVU,NORTH 44,https://api-assets.clashofclans.com/badges/70/zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI.png,https://api-assets.clashofclans.com/badges/512/zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI.png,https://api-assets.clashofclans.com/badges/200/zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI.png
10,#2YRJ8G9C,lucky,158,5016,297,4,#YRGYC0Y2,TourneyAlliance,https://api-assets.clashofclans.com/badges/70/YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s.png,https://api-assets.clashofclans.com/badges/512/YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s.png,https://api-assets.clashofclans.com/badges/200/YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s.png
11,#QLPJV0RV,kikay100,190,5008,218,7,#CC8JQ28,Filipino Champs,https://api-assets.clashofclans.com/badges/70/SEHItSTaeITfhGSeKade8R4QL0rOgscO8qUF2ho6YuM.png,https://api-assets.clashofclans.com/badges/512/SEHItSTaeITfhGSeKade8R4QL0rOgscO8qUF2ho6YuM.png,https://api-assets.clashofclans.com/badges/200/SEHItSTaeITfhGSeKade8R4QL0rOgscO8qUF2ho6YuM.png
12,#PLV9CCCL,dat micheal,161,5003,271,7,#YRGYC0Y2,TourneyAlliance,https://api-assets.clashofclans.com/badges/70/YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s.png,https://api-assets.clashofclans.com/badges/512/YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s.png,https://api-assets.clashofclans.com/badges/200/YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s.png
13,#G89GJRYG,love,143,4998,209,8,#YRGYC0Y2,TourneyAlliance,https://api-assets.clashofclans.com/badges/70/YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s.png,https://api-assets.clashofclans.com/badges/512/YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s.png,https://api-assets.clashofclans.com/badges/200/YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s.png
